id,customer_tweet,reference_reply,gold_intent,gold_should_escalate,gold_escalation_reason,difficulty
gold_026,Fraud on my debit card! Someone is using my card for I will be cancelling my account with you🤷🏻‍♀️ thanks for the bs!,"Oh no, I'm sorry! Please reach out directly to us here: so that we can take a closer look. ^TN",ACCOUNT_PAYMENT_SECURITY,True,"Payment/Account security risk (fraud, unauthorized charges)",high_risk
gold_027,Can someone help? item I need to rebuy is close to selling out and I picked a gift card refund so it would be quicker.,"We're still here for you! When you contacted us via phone/chat, what info or insight was provided regarding the refund? ^JE",RETURN_REFUND,False,,standard
gold_028,Dear please make a new option in COD which is pay through amazon pay balance along with cash &amp; card payment.It might be very helpful.,Feedback like this will help us in building better shopping experience. We will pass it on internally and ensure to work on it. ^RW,PRODUCT_POLICY_INQUIRY,False,,standard
gold_029,how to return product if color is not same?,You may go ahead with the return/replacement from here: ^AG,RETURN_REFUND,False,,standard
gold_030,"Your site was malfunctioning on Black Friday, and I was unable to purchase the TCL 43 inch TV bc it kept changing it to 28 inches. I was promised - repeatedly- that if I purchased it at $299 you would refund me to the original $127 price advertised - OVER AND OVER!",I'm very sorry for the incorrect information. Here is more info on our policies: ^ZW,PRODUCT_POLICY_INQUIRY,False,,standard
gold_031,can someone reply to me regarding my refund please? I’ve emailed twice but no reply.,E-mails can take some time for a response. For a quicker answers please contact us by phone or chat here: Let us know when it gets sorted out! ^DA,RETURN_REFUND,False,,standard
gold_032,"Order refund requested on 20 Oct. Still not received refund. Unable to contact your customer service. All I hear is ""Unable to find your order"". Please call me ASAP and update my refund status.",We've responded to your query here: ^AP,RETURN_REFUND,True,Customer is unable to contact customer service and is requesting a call to update refund status,standard
gold_033,"what do you mean by only Seller gst,this is Fraud, i have paid the amt which includes gst, find a solution for it or refund the gst amt","I understand your concern. As mentioned, we'll only be able to add seller GST number on invoice. ^HD",ACCOUNT_PAYMENT_SECURITY,True,Customer reports unauthorized charges and requests refund for GST amount,high_risk
gold_034,"Recd. the wrong Item, This is not expected from you, 1st pic is what I had ordered, and second pic what I had received..","Also, please don't provide your order/account details as we consider them to be personal information. ^HK",RETURN_REFUND,False,,standard
gold_035,bought an Amazon iPhone branded iPhone cable 5 weeks ago... it's just randomly stopped working!! Expect more than 5 weeks out of it! Can you exchange it?,"Hello, Elly. I'm sorry that you're having issues with your phone cable. You can check out our return and replacement options here: ^FJ",PRODUCT_POLICY_INQUIRY,False,,standard
gold_036,#AmazonIndia pickup hasn't been initiated although stayed home for the entire duration of the pickup Window. Not even a call,"Also, as this a social medial platform, please don't provide order details. We consider it personal information.2/2^HR",ORDER_TRACKING_DELAY,False,,standard
gold_037,"Brother I put a return request on a order like three weeks back. You don't seem to care about it, BUT I WANT MY FUCKING MONEY BACK.","Apologies for the delayed pickup, that wasn't intended. We'd like to help you. May I know if you contacted our support team here: ^BS",RETURN_REFUND,True,"Customer is extremely angry and threatening, indicating a high risk of escalating into a legal threat.",standard
gold_038,#405-4713319-0141926 not able to return #the shop always closed #CustomerService not able to help,Please don’t provide your order details as it is personal information. Our page is visible to the public.2/2^HN,RETURN_REFUND,False,,standard
gold_039,I am so sick of your broken delivery service. It has been going downhill since you contracted horrible drivers that don’t even work for you.,I'm sorry. We don't have account access via Twitter. For the quickest resolution please us the link ^WM provided. ^AC,SERVICE_COMPLAINT,True,Customer is extremely angry and making a serious complaint about Amazon's delivery service,high_risk
gold_040,"Received ur email, said I have send wrong product. Product was picked up by you in openbox, and now you are denying to refund . 1/2",Kindly revert to our correspondence and we'll check this further for you. ^VN,RETURN_REFUND,True,"Customer is disputing the return and refund process, alleging that Amazon picked up an open-box product and is now denying a refund.",standard
gold_041,refund my Rs 50 you took for delivery by 11 am. As you have failed to deliver the same,Sorry for the delay. Please report this to our support team here: They'll assist you with this. ^ST,RETURN_REFUND,False,,standard
gold_042,Where...? bc it still says “Return pending seller approval”,That's odd! We can't see account details over Twitter. Please get in touch with us here so that we can help with the return label: ^EA,RETURN_REFUND,False,,standard
gold_043,I've shared it. Last time I was told to send an email and refund will be initiated in 2 days and I'll get a call. None of that ever happened.,Thanks for the heads up. We've just received your details and working to resolve this for you. We'll be sure to reach out to with an update at the earliest. Appreciate your patience. ^VN,RETURN_REFUND,False,,standard
gold_044,It seems u guys out of replacement remotes. Customer support asking me to buy from Amazon and later they will refund the money. Seriously...,"That is quite a remark, Harshad. Kindly fill in your details here: and we will get back to you. ^KS",PRODUCT_POLICY_INQUIRY,False,,standard
gold_045,Damage happens. &amp; I just received replacements. So that's ok. I just wonder why I have to return broken bits. Cld I send a photo I took?,"We don't have access to account information here, so we can't look at this for you. Was this item sold by a seller or Amazon? ^FR",RETURN_REFUND,False,,standard
gold_046,Will you please take care to refund my Rs 100/- unethically charged for shipment .,You would receive a correspondence shortly regarding the concern. Appreciate your cooperation. ^BS,ACCOUNT_PAYMENT_SECURITY,True,Unauthorized charges on customer's account,high_risk
gold_047,"Yes, problem is I bought as a lightning deal and if I return and repurchase to have the correct color shipped, it’s full price, meaning I lose out...",Let's look at this in real time. Please call or chat with us here: ^BA,PRODUCT_POLICY_INQUIRY,False,,standard
gold_048,"I was asked if I wanted a refund or replacement, I chose replacement but received an email saying you can’t replace.",Did they advise why it couldn't be replaced? ^KI,RETURN_REFUND,False,,standard
gold_049,Yes.. not single call got regarding that since Saturday.. I want to return this products and never want to purchase again with amazon,I'm sorry about the hassle. Please drop in your details here: We'll look into it. ^SB,RETURN_REFUND,False,,standard
gold_050,If ordering a vinyl album from be aware that a) it will arrive very poorly packaged causing it to be damaged and b) if you try to phone a complaint you will speak to someone with poor English who genuinely doesn’t know what a vinyl album is...,"This isn't what we like to see! I'm sorry for any inconvenience caused, were you able to review your available refund and replacement options while on the phone? ^DW",SERVICE_COMPLAINT,False,,standard
gold_051,"yeah, it just took me to where you can return it but i can’t return it since i don’t have it",Hmm. Let's take a look into this in real time with you here: ^JZ,RETURN_REFUND,False,,standard
gold_052,Any support not received till now regarding my order return to AMAZON,We’ll look into it. 2/2 ^SB,RETURN_REFUND,False,,standard
gold_053,I want to return something but the app is telling me item is not returnable. How do I find out why?,"We're here to assist in any way we can. Please provide a link to the item you're returning so we can take a look. If you'd like for us to look into other options, you can contact us via phone or chat here: ^KB",RETURN_REFUND,False,,standard
gold_054,"I’m having a hard time getting through to you guys. Every time I call, I’m disconnected saying the return for my purchase ended.","I'm sorry to see you upset with the returns, we'll be able to accept returns if your order is in the return window period. ^MJ",RETURN_REFUND,False,,standard
gold_055,I've ordered an item weeks ago it's not been delivered contacted seller twice but not getting help with a refund from them,It sounds like it's time for an A-to-Z Guarantee Claim. Here's the instructions to submit a claim: ^MJ,RETURN_REFUND,False,,standard
gold_056,"I Rcd 2 orders in my name, 1 was mine other not. Called CS issued return label but attached to my order &amp; started return process!! I called to stop &amp; get diff label was told both orders need to return. Wow! Punishment for ur packing error! #rethinkingamazon 🤬😠","I'm sorry for the issue you faced while returning the package. We'd like to know what exactly went wrong, please drop in your details here: and we'll reach out to you. ^SD",RETURN_REFUND,True,Customer is reporting a potential account security risk due to unauthorized orders and incorrect return label issuance.,standard
gold_057,WHERE TO TALK FOR COMPLAINT .......180030009009 IS NOT RISPOND,Please reach out to our support team here: and we'll be happy to help. ^SH,SERVICE_COMPLAINT,True,Customer is reporting a service failure (non-responsive customer service number),high_risk
gold_058,your services is very pathetic I will suggest to everyone just quit this marketplace,"That's some remark! Could you elaborate on what went wrong, Sanjay? ^JC",SERVICE_COMPLAINT,True,Customer is extremely angry and threatening to advise others to quit the marketplace,high_risk
gold_059,No. Its not. Will come back to yu..if its not delivered btw estimated dates. And also i will not give/raise complaint on this now. Will sure I believe it will not be delivered on said dates,I get your concern. Kindly wait until the estimated delivery date provided. ^PS,ORDER_TRACKING_DELAY,False,,standard
gold_060,"Shocked and appalled at my delivery driver opening my front door, letting himself into my home and placing packages within my hallway! A total invasion of privacy and also illegal! Wife and 3 year old son left very shaken","I am sorry to hear about this, Daniel. We would like to take a closer look into this for you, please click on the following link and my team will be in touch as soon as they can.^SM",SERVICE_COMPLAINT,True,Customer reports a serious security breach and potential illegal activity by Amazon delivery driver,high_risk
gold_061,it's shameful when the money can't be refunded even after 40 days!!! Disgusted!!!,Apologies for the delayed refund. Please share your details here: &amp; we'll get in touch with you. ^BS,RETURN_REFUND,True,Customer is extremely dissatisfied with refund process and is making a strong emotional statement,standard
gold_062,"I did,,,, on the phone,,,, all last night Your representative and her supervisor couldn't give a monkeys Don't lable prime when it isn't !!! Now phone me please you have my email and number","We're not able to access your account via Twitter. Please give us another chance to look into this with you, using the link ^AF has provided. ^AB",SERVICE_COMPLAINT,True,Customer is extremely dissatisfied with service and is requesting a phone call back,high_risk
gold_063,"pathetic delivery service, though package in city they will wait for the date to come.",please wait till the end of the estimated delivery date. Thank you for your understanding. ^ AR 2/2,SERVICE_COMPLAINT,False,,standard
gold_064,5k recharge and 500 cashback offer. They say u are eligible and not eligible on the same call. Pathetic customer service,Could you direct us to link of the promotion ? We'd like to be specific on this. ^HT,ACCOUNT_PAYMENT_SECURITY,True,Customer is reporting inconsistent and potentially unauthorized account activity,high_risk
gold_065,It's a work based enquiry and can't find paperwork/unable to contact manager.,No worries! For work based inquiries you can reach us via phone at 1-888-892-7180. We look forward to hearing from you! ^VB,OUT_OF_SCOPE,False,,standard
gold_066,What's the best way to contact for filing a complaint? They claim my order has been delivered. But I have not received a thing!,That's unusual. Please contact us here: so that we can assist you accordingly. ^MO,ORDER_TRACKING_DELAY,False,,standard
gold_067,Where is the question in the email? It says that will get back to me in 3-5 days of which 4 are over. This is after my 10+ attempts. Stop misguiding me. Or else all of this will form my submission to Court when I drag Amazon to Court.,Kindly reply to the email and we will get back to you with an update. ^MP,SERVICE_COMPLAINT,True,Customer is threatening legal action against Amazon,high_risk
gold_068,Still NO use. I guess Consumer Court is only option left with me. Thanx for involving your time and wasting mine !,We're working on your write back to us. Appreciate your patience. ^YP,SERVICE_COMPLAINT,True,Customer is threatening to take legal action against Amazon,high_risk
gold_069,very worst service from you all very cheap can't define it.. awb-57923111783 Not delivered on time .,"you. Please don't provide your order details,as we consider it to be personal information.Our Twitter page is public.​2/2^NK",SERVICE_COMPLAINT,True,Customer is extremely angry and making a legal threat.,high_risk
gold_070,#AmazonIndia worst service. Almost a month has passed but my refund still not processed. Executive are giving fake assurance every time when I call them. They say that I am handling your concern from now and when I call next time the new one say may I know your problem.,I’m sorry about this experience. Please share your details here: and I'll get in touch with you. ^MK,RETURN_REFUND,True,Customer is experiencing persistent service failures and abusive treatment from Amazon customer support executives.,standard
gold_071,"are TERRIBLE, the customer service department are even worse, and furthermore if you want next day delivery with PRIME you wont get it. You call up and you get bullshitted over the phone TBH, they cant even understand your language!","I'm sorry for the unsatisfactory customer service experience, Jamie. We'd like to help in any way we can. Is there a problem with a recent order? Without providing account or personal information, please let us know! ^FD",SERVICE_COMPLAINT,True,"Customer is extremely angry and reports persistent service failures, including unhelpful customer service representatives.",high_risk
gold_072,"I didn’t, because I didn’t see it at all. How has it taken two complaints and two returns to learn about this feature? Terrible user and customer experience!",Sorry this was not explained previously. For more information about this please click the following link:,SERVICE_COMPLAINT,True,Customer is extremely dissatisfied with the service and has experienced multiple issues,high_risk
gold_073,Can the team I emailed arrange for delivery this evening? This is the worst customer service experience I've ever had &amp; I'm from the USSR.,We're unable to access your acc here. Get in touch here: and we'll be happy to help. ^RS,SERVICE_COMPLAINT,True,"Customer is extremely dissatisfied with service and is making a legal threat by mentioning USSR, implying a potential regulatory threat.",high_risk
gold_074,"Nothing like waiting for order only to see delivery driver pull up, sit in driveway, rearrange pkgs &amp; leave w/o delivering mine. 😒","I'm sorry you didn't receive your package! Has the delivery date been missed, and which carrier is assigned? ^LL",ORDER_TRACKING_DELAY,False,,standard
gold_075,Worst service after waiting 20 days parcel not delivered. Customer agent are very rude#Unhappy,Sorry about that. May I know if you have filled in the details from the link provided earlier? ^BS,SERVICE_COMPLAINT,True,Customer is extremely angry and reports rude customer service,high_risk
gold_076,"Yo , your driver left this in plain view without anyone giving them permission to do this and the box is SOAKED. Do better!","I'm sorry your package arrived in this condition. To clarify, who is the carrier for your order: ^GM",SERVICE_COMPLAINT,True,Customer is extremely angry and reports a service failure (driver's behavior),high_risk
gold_077,where is my order..?? Ur customer service is worst... I am fighting for my right since 10 days but not a single call from your end,Kindly check it here: and revert to it if needed. (2/2) ^SF,SERVICE_COMPLAINT,True,Customer is extremely angry and has been experiencing persistent service failures for 10 days,high_risk
gold_078,Really #annoyed w !! Need bcuz 2nd delivery attempt failed (again). Live in new housing area &amp; postcode sends driver 2wrong area. Need my delivery today!!! Why can’t they call me 4 directions?!,"I'm sorry your order had another failed delivery attempt, Shelly! We'd like to take a look into this and available options with you. When you're available, please get in touch with us here: ^TH",SERVICE_COMPLAINT,True,Customer is extremely angry and reporting persistent service failures with delivery attempts,high_risk
gold_079,Let people know how I have beeb cheated by amazon. Disgusted,Please fill in your details in the link provided earlier and our team will get back to you with an update. ^RD,SERVICE_COMPLAINT,True,Customer is extremely angry and making a legal threat,high_risk
gold_080,Fraud company #buycott amazonIN pathetic customer service and they looted us,"Certainly not the kind of experience we would like to cater. Kindly let us know, where did we go wrong. We would like to work on it. ^CB",SERVICE_COMPLAINT,True,Customer is making a legal threat against Amazon,high_risk
gold_081,"Pathetic service. Been calling for the past one week to have my mobile picked up, no response.",I'm sorry about the delay with the pick-up. Kindly share your details here: and we'll sort this out. ^GK,SERVICE_COMPLAINT,True,Customer has been experiencing persistent service failures with no response to their calls.,high_risk
gold_082,"What is a status of my refund, it been around 20 days since I raise lots of complaint.","I'm sorry your concern hasn't been resolved yet. Please reply to the email you've received from social media tea, we'll reach out to you soon. ^AP",RETURN_REFUND,False,,standard
gold_083,"Just tweeted re lying driver ""could not find address"" Amazon parcel no is 4781360522. Really upset.","Hi there, I'm sorry to see you're having some trouble with a parcel! You can find their contact information here: Please keep us posted on the outcome of your contact and let us know if you have any further questions. ^DW",ORDER_TRACKING_DELAY,False,,standard
gold_084,#amazon delivery driver dumps it on the pavement &amp; zig zags for the crossing so he doesn’t have to walk far!!,"We'd like to take your feedback about this. When you have a moment, please reach us via phone/chat: ^KN",SERVICE_COMPLAINT,False,,standard
gold_085,episodes r made and available on net through other sources but even being Prime member there r incomplete seasons.,I get you being upset. We keep adding new content and kindly stay tuned for more updates. From my end I will forward your feedback to the concerned team. Appreciate your understanding. ^BS,PRODUCT_POLICY_INQUIRY,False,,standard
gold_086,What is the policy on selling products featuring stolen artwork?,We encourage you to contact us so we can report the seller to the appropriate team for investigation: ^AM,PRODUCT_POLICY_INQUIRY,False,,standard
gold_087,one of my prime deliveries says it's being held by carrier how do I get it delivered?,I'm sorry to hear it's being held! We can't see the order on Twitter so please reach us here: ^DD,ORDER_TRACKING_DELAY,False,,standard
gold_088,Are there some books that are only available on unlimited?? Why won’t it let me buy The Handmaids Tale? #prime,I'm sorry for the trouble. Which device are you trying to purchase it from? Are you using an app or the website? ^DW,PRODUCT_POLICY_INQUIRY,False,,standard
gold_089,how do I get the e-book of a actual book I bought onto my kindle app?,"We're here to help! If the book is available in Kindle format, you can find and download it here: ^AB",PRODUCT_POLICY_INQUIRY,False,,standard
gold_090,How do I track an Amazon Logistics package starting with TBA?,AMZL orders are trackable via our website. You can track your orders here: ^JP,ORDER_TRACKING_DELAY,False,,standard
gold_091,I am in call with your support team. They say offer is not available now. Seriously? No value to a customer?,claim the exchange offers. Be assured we are working to expand our services to more pincodes. 3/3 ^KH,SERVICE_COMPLAINT,False,,standard
gold_092,My Prime membership isn't as valuable when their in-house shipping service is consistently late with packages. Here we go again...,"I am sorry to hear about the troubles, Jamie! I'd like a team member to look into this! Add info here: ^FR",SERVICE_COMPLAINT,False,,standard
gold_093,"I’m in the Uk, is this only available in the US?",Correct! It appears only has this show available on Prime.,PRODUCT_POLICY_INQUIRY,False,,standard
gold_094,"Same product purchased, claims 1yr of warranty, but neither boat nor amazon addresses the problem when the product is defective.",We've responded to your query here: ^SF,PRODUCT_POLICY_INQUIRY,False,,standard
gold_095,Already done 5x. Keep getting passed between departments. Exercise in futility. How to reach decision maker re book publication policy??,"Understood. When you did speak with us, what information or insight was provided? We're still here to help! ^JE",SERVICE_COMPLAINT,True,Customer is experiencing persistent service failures and is seeking a decision maker for a specific policy,high_risk
gold_096,"Hey , you need to sort it out with . Half the things I subscribed the service for in NZ aren't available for this region like 's #Baapjanma or stand-up special. What gives?","I get your concern, Prateek. I'm afraid, content is geo - specific. Please refer here: for more info. ^SV",PRODUCT_POLICY_INQUIRY,False,,standard
gold_097,Pathetic customer care service of Amazon India !! One just can't speak to customer care for any issue even if they have Prime membership! The awful service says you can go through app for help. If that was possible why the fuck would I call you! #primesucks,That's quite a remark. Please let us know what went wrong so that we can look into this. ^BV,SERVICE_COMPLAINT,True,Customer is extremely angry and making abusive threats,high_risk
gold_098,"And if it does prove to be broken, how do I get a replacement in time for her birthday tomorrow morning?!? I really don’t care about future deliveries right now as I’ll be shopping elsewhere if I have nothing to give her when she wakes up tomorrow","If the telescope is damaged in any way, you would need to reach out to us via the link provided in the previous reply and we can look into what options are available. ^TE",RETURN_REFUND,False,,standard
gold_099,But what is the benefit of my prime membership then? When you make me wait four days and 12 hours later I see a shorter delivery window?,We will consider this instance as feedback and ensure to pass it in on internally for improvements. ^RW,PRODUCT_POLICY_INQUIRY,False,,standard
gold_100,Hey The order never reached for me to accept or cancel. Your delivery boy didn't make it to the address by 8 pm. This is dirty tactic. What do I take prime membership for? #deliveryrejected #amazonindia #latedelivery,Apologies for the unpleasant experience. Please report this to our support team here: so that we can assist you accordingly. ^MN,ORDER_TRACKING_DELAY,True,Customer is accusing Amazon of using a 'dirty tactic' and is extremely dissatisfied with the delivery service.,standard
gold_101,"When is drop in feature going to be available for India? I have echo dot and echo plus, cannot drop in to each other.",We are working on the Echo devices for India for various services and skills available on the device. Please stay tuned to us for further update. ^SF,PRODUCT_POLICY_INQUIRY,False,,standard
gold_102,"I mean , at least make it mandatory for third party delivery services to require ID upon delivery or at least the damn tracking number; something that can identify the rightful recipient🤦🏾‍♀️. Or at least let me choose between available delivery services for my area.","Have you spoke with us directly? If so, what information were we able to provide about your item? If you haven't reached out to us yet, please do so by phone or chat here: ^AC",PRODUCT_POLICY_INQUIRY,False,,standard
gold_103,So what will I do if you add new movies after ending of my prime membership? Because I am not going to renew it.,"I understand your concern, Vivek. We'll forward your feedback to the team concerned for review. ^HD",PRODUCT_POLICY_INQUIRY,False,,standard
gold_104,Does this mean that it will never be distributed in the Indian market and will be only be able available for purchase as an international import item?,"Currently, yes it will be only available for purchase as an international import. ^PS",PRODUCT_POLICY_INQUIRY,False,,standard
gold_105,"One more day has passed without any updates. Why is it so difficult to unlock my account? If you can’t unlock, refund my prime membership amount. ? #nothingprimeinamazonprime","I realize there's been a delay, Rahul. Please understand that we're unable to check the details via Twitter. I'd request you to respond to our specialist team's email for further information. ^JC",ACCOUNT_PAYMENT_SECURITY,True,Customer is experiencing account lock and requesting refund due to account security issue,high_risk
gold_106,How do I access books with my Amazon Prime account without paying a separate membership fee?,"Hey, you can access books with a Prime membership through the Kindle Owners Lending Library. More info on that for you here: ^TI",PRODUCT_POLICY_INQUIRY,False,,standard
gold_107,The option doesn’t show up since the purchase was made in December but still under warranty.,"Gotcha, thanks for the info! With warranty claims you'll need to reach out to the manufacturer. If you still have any original paperwork, their contact information will be included. If not, you can search for the manufacturer website online. Hope this helps! ^GS",PRODUCT_POLICY_INQUIRY,False,,standard
gold_108,Concern regarding Amazon pay balance issues n refund policy. I am unable to use my balance.,Please share your details and all your concerns here: We'll get back to you soon. 2/2 ^PS,ACCOUNT_PAYMENT_SECURITY,False,,standard
gold_109,when do y'all restock????????,"We will always let you know when our items are in stock or our of stock. And if items are out stock, we will alert you if the items are unavailable and even a date in which they will come back in stock if that date is provided for us! ^GP",PRODUCT_POLICY_INQUIRY,False,,standard
gold_110,Is it available in the US as well ?,"I'm afraid, the content will be geo-specific, Vinay. ^HD",PRODUCT_POLICY_INQUIRY,False,,standard
gold_111,got a request I want these 3 and Thomas all session available in both English &amp; Hindi please it's 4 the inner kid in meplease,"movies and TV shows we have available. Further, I'll surely forward this as feedback internally. (2/2)^SQ",PRODUCT_POLICY_INQUIRY,False,,standard
gold_112,How to know when will my prime membership expires..?,You may refer to the link here: to check the expiry of your prime membership. ^PS,PRODUCT_POLICY_INQUIRY,False,,standard
gold_113,. thank you for ruining all Diwali gifts and not even returning money back to my account. #neveragain #horriblecustomerservice,here: and we will assist you at the earliest. (2/2)^HR,SERVICE_COMPLAINT,True,Customer is extremely angry and threatening due to service failure and lack of refund,high_risk
gold_114,"Thanks, I'll try to find that out, don't know my Twitter name!","Hey, Jenny. Looks like it's ""jennybrfr."" Hope this helps! ^LB",OUT_OF_SCOPE,False,,standard
gold_115,So your in the wrong yet you suggest to me to cancel my membership. That's great customer service right there! No I don't want to cancel but remove any card from the back up this instance,"We do not have access to your account via Twitter. If you would like to remove payment methods, you can do so here: ^BA",ACCOUNT_PAYMENT_SECURITY,False,,standard
gold_116,So I had ordered a Moto G5s and I got a Moto G5 plus. Please do something about it. Thank you,"Apologies for the mix-up. We never intended to let this happen. Did you report it to our support team? If not, please do it from here: so that we can assist you accordingly. ^SC",ORDER_TRACKING_DELAY,False,,standard
gold_117,Thanks for such a fastest delivery . Got my Flagship delivered right after the next day I ordered.,Woohoo! That's awesome! Thank you indeed for keeping us inspired to do such great work. We appreciate the kind words and we're here to help if you need us :-) ^SV,PRODUCT_POLICY_INQUIRY,False,,standard
