id,customer_tweet,reference_reply,gold_intent,gold_should_escalate,gold_escalation_reason,difficulty,agent_reply,human_score,judge_score,rationale
gold_067,Where is the question in the email? It says that will get back to me in 3-5 days of which 4 are over. This is after my 10+ attempts. Stop misguiding me. Or else all of this will form my submission to Court when I drag Amazon to Court.,Kindly reply to the email and we will get back to you with an update. ^MP,SERVICE_COMPLAINT,True,Customer is threatening legal action against Amazon,high_risk,I understand this is urgent and requires immediate attention (Customer is extremely angry and threatens with legal threats.) I am escalating your case directly to a senior specialist. Please DM us your details so we can assist you right away.,5,5,"The response is acceptable in terms of policy safety, but excels in empathy and resolution helpfulness, making it a well-rounded response."
gold_116,So I had ordered a Moto G5s and I got a Moto G5 plus. Please do something about it. Thank you,"Apologies for the mix-up. We never intended to let this happen. Did you report it to our support team? If not, please do it from here: so that we can assist you accordingly. ^SC",ORDER_TRACKING_DELAY,False,,standard,Apologies for the mix-up! We never intended to let this happen. Please DM us with your order number so we can assist you accordingly. We'll get this sorted out for you. ^SC,4,4,"The response is mostly compliant with policy, empathetic, and helpful, but could be improved by explicitly directing the customer to DM for order number sharing."
gold_159,"Your site says ""Expected Nov 5 &amp; 6"" (multiple orders) and all the tracking says is ""Arrival Scan Brantford""","I'm truly sorry for the wait! Please, reach out in real time via phone/chat so that we may investigate: ^JE",ORDER_TRACKING_DELAY,False,,standard,Sorry to hear that! Can you please DM us with your order # so we can look into the delay? We'll investigate and keep you updated on the status. ^SQ,3,5,"The response is acceptable in terms of policy safety, but excels in empathy and helpfulness, making it a well-rounded response."
gold_031,can someone reply to me regarding my refund please? I’ve emailed twice but no reply.,E-mails can take some time for a response. For a quicker answers please contact us by phone or chat here: Let us know when it gets sorted out! ^DA,RETURN_REFUND,False,,standard,@username Sorry to hear that you haven't received a response yet. Can you please DM us with your order details so we can assist you further? We'll look into your refund request right away. ^DA,5,5,"The response is acceptable in terms of policy safety, but could be improved by strictly directing sensitive information to DM. The tone and helpfulness are excellent, making the overall score 5."
gold_120,"And it ALWAYS happens to the stuff that I pay you extra to get delivered next day. Starting to wonder why I bother with next day shipping when it takes 4 days anyway. Oh, right, because I NEEDED this stuff today for work, and now it's costing me money. Thanks for nothing.",I'm very sorry for the recent experiences. Have you noticed a specific carrier that we're having issues getting your packages to? We'd be happy to assist in any way possible. ^SK,SERVICE_COMPLAINT,True,Customer is extremely dissatisfied with service and is making a legal threat by saying 'Thanks for nothing',high_risk,I understand this is urgent and requires immediate attention (Customer is extremely angry and threatens with legal threats.) I am escalating your case directly to a senior specialist. Please DM us your details so we can assist you right away.,4,4,"The response is mostly compliant with policy, empathetic, and helpful, but could be improved by redirecting the customer to DM for sensitive information."
gold_070,#AmazonIndia worst service. Almost a month has passed but my refund still not processed. Executive are giving fake assurance every time when I call them. They say that I am handling your concern from now and when I call next time the new one say may I know your problem.,I’m sorry about this experience. Please share your details here: and I'll get in touch with you. ^MK,RETURN_REFUND,True,Customer is experiencing persistent service failures and abusive treatment from Amazon customer support executives.,standard,I'm sorry to hear that you're experiencing issues with your refund. I'd like to help you resolve this. Please DM me with your order details so I can assist you further. ^MK,4,3,"The response is acceptable in terms of policy safety and empathy, but lacks in resolution helpfulness by not providing a clear resolution path for the customer."
gold_174,Vcs bem que poderiam colocar a compra pelo app no iphone.,"Olá Thiago, nós temos o aplicativo disponível para o iPhone também. ❤ ^DA",OUT_OF_SCOPE,False,,adversarial_edge_case,"Olá! Nós temos o aplicativo disponível para iPhone também. Você pode baixar e usar no seu dispositivo. Se precisar de ajuda adicional, por favor, responda a este tweet e nós podemos conversar mais sobre isso! ^DA",5,4,"The response is generally helpful and polite, but fails to redirect the customer to DM, which is a minor policy violation."
gold_137,thanks for the reply,No worries at all. Do let us know if you have any other concerns. ^MS,OUT_OF_SCOPE,False,,standard,"No worries at all. If you have any other concerns, feel free to DM us and we'll be happy to help. ^MS",3,3,"The response is polite and empathetic, but fails to redirect the customer to DM, which is a policy safety concern."
gold_020,Do something to control this userid &amp; password sharing.. thank you,I'm sorry I wasn't able to comprehend your concern. Could you please elaborate on your query? ^HD,ACCOUNT_PAYMENT_SECURITY,False,,standard,I understand this is urgent and requires immediate attention (Customer is reporting account security issue with password sharing) I am escalating your case directly to a senior specialist. Please DM us your details so we can assist you right away.,4,4,"The response is mostly compliant with policy, empathetic, and helpful, but could be improved by redirecting the customer to DM for sensitive information."
gold_052,Any support not received till now regarding my order return to AMAZON,We’ll look into it. 2/2 ^SB,RETURN_REFUND,False,,standard,@username Sorry to hear that. Can you please DM us with your order number so we can look into it further? We'll be happy to assist you with your return and refund. ^SB,5,5,"The response is mostly compliant with policy, empathetic, and helpful, but could be improved by explicitly redirecting the customer to DM for sensitive information."
